Frame,Object ID,x1,y1,x2,y2
46,4,802.19,630.63,1080,1084.88
47,4,780.3,625.95,1080,1080.2
48,4,755.3,625.95,1080,1080.2
49,4,727.2,625.95,1080,1080.2
50,4,711.6,625.95,1080,1080.2
51,4,681.9,625.95,1080,1080.2
52,4,685,647.78,1051.9,1041.17
53,4,661.59,646.21,1028.49,1039.61
54,4,637.39,645.43,1004.29,1038.83
55,4,613.2,644.65,980.1,1038.05
56,4,592.9,641.53,959.8,1034.93
57,4,561.69,636.85,928.58,1030.24
58,4,539.83,636.85,906.73,1030.24
59,4,521.1,636.85,888,1030.24
60,4,491.44,654.02,858.34,1047.41
61,4,461.78,671.19,828.68,1064.58
62,4,438.37,686.8,805.27,1080.19
63,4,413.39,741.46,761.56,1081.76
64,4,394.66,743.02,742.83,1083.32
65,4,360.32,749.27,708.49,1089.56
66,4,339.25,746.14,687.41,1086.44
67,4,318.17,743.02,666.34,1083.32
68,4,299.44,744.58,647.61,1084.88
69,4,302.56,732.09,650.73,1072.39
70,4,272.91,724.29,621.07,1064.58
71,4,251.05,713.36,599.22,1053.66
72,4,238.04,714.92,586.21,1055.22
73,4,225.04,716.48,573.21,1056.78
74,4,212.03,718.04,560.2,1058.34
75,4,207.36,725.46,546.15,1054.43
76,4,202.69,732.88,532.1,1050.53
77,4,198.02,740.3,518.05,1046.63
78,4,193.35,747.72,504,1042.73
79,4,196.86,747.72,507.51,1042.73
80,4,200.37,747.72,511.03,1042.73
81,4,203.88,747.72,514.54,1042.73
82,4,207.39,747.72,518.05,1042.73
83,4,210.91,747.72,521.56,1042.73
84,4,214.42,747.72,525.07,1042.73
85,4,217.93,747.72,528.59,1042.73
86,4,221.44,747.72,532.1,1042.73
87,4,244.34,741.98,537.3,1023.47
88,4,267.24,736.24,542.51,1004.22
89,4,290.14,730.5,547.71,984.97
90,4,312,730.5,569.56,984.97
91,4,329.17,722.7,586.73,977.16
92,4,354.15,710.21,611.71,964.68
93,4,379.12,697.72,636.69,952.19
94,4,394.73,691.48,652.29,945.95
95,4,394.73,691.48,652.29,944.54
96,4,394.73,691.48,652.29,943.13
97,4,394.73,691.48,652.29,941.72
98,4,394.73,691.48,652.29,940.32
99,4,394.73,691.48,652.29,938.91
100,4,394.73,691.48,652.29,937.5
101,4,394.73,691.48,652.29,936.09
102,4,394.73,691.48,652.29,934.69
103,4,394.73,691.48,652.29,933.28
104,4,394.73,691.48,652.29,931.87
105,4,394.73,691.48,652.29,930.47
106,4,394.73,691.48,652.29,929.06
107,4,394.73,691.48,652.29,927.65
108,4,394.73,691.48,652.29,926.24
109,4,394.73,691.48,652.29,924.84
110,4,394.73,691.48,652.29,923.43
111,4,394.73,691.48,652.29,922.02
112,4,394.73,691.48,652.29,920.61
113,4,394.73,691.48,652.29,919.21
114,4,394.73,691.48,652.29,917.8
115,4,392.08,689.61,649.64,915.93
116,4,389.42,687.73,646.99,914.05
117,4,386.77,685.86,644.33,912.18
118,4,384.12,683.99,641.68,910.31
119,4,381.46,682.11,639.03,908.43
120,4,378.81,680.24,636.37,906.56
121,4,376.15,678.37,633.72,904.69
122,4,373.5,676.49,631.07,902.81
123,4,370.85,674.62,628.41,900.94
124,4,368.19,672.75,625.76,899.07
125,4,366.79,673.14,624.35,899.46
126,4,365.38,673.53,622.95,899.85
127,4,363.98,673.92,621.54,900.24
128,4,362.57,674.31,620.14,900.63
129,4,361.17,674.7,618.73,901.02
130,4,359.76,675.09,617.33,901.41
131,4,358.36,675.48,615.92,901.8
132,4,356.96,675.87,614.52,902.19
133,4,355.55,676.26,613.11,902.58
134,4,354.15,676.65,611.71,902.97
135,4,352.74,677.04,610.31,903.36
136,4,351.34,677.43,608.9,903.75
137,4,349.93,677.82,607.5,904.14
138,4,348.53,678.21,606.09,904.53
139,4,347.12,678.6,604.69,904.92
140,4,345.72,678.99,603.28,905.31
141,4,344.31,679.38,601.88,905.7
142,4,342.91,679.77,600.47,906.09
143,4,341.5,680.16,599.07,906.48
144,4,340.1,680.55,597.66,906.87
145,4,340.02,681.53,597.58,907.85
146,4,339.94,682.5,597.51,908.82
147,4,339.86,683.48,597.43,909.8
148,4,339.79,684.46,597.35,910.77
149,4,339.71,685.43,597.27,911.75
150,4,339.63,686.41,597.19,912.73
151,4,339.55,687.38,597.12,913.7
152,4,339.47,688.36,597.04,914.68
153,4,339.4,689.33,596.96,915.65
154,4,339.32,690.31,596.88,916.63
155,4,339.24,691.28,596.8,917.6
156,4,339.16,692.26,596.73,918.58
157,4,339.08,693.24,596.65,919.55
158,4,339.01,694.21,596.57,920.53
159,4,338.93,695.19,596.49,921.51
160,4,338.85,696.16,596.41,922.48
161,4,338.77,697.14,596.34,923.46
162,4,338.69,698.11,596.26,924.43
163,4,338.62,699.09,596.18,925.41
164,4,338.54,700.06,596.1,926.38
165,4,338.46,701.04,596.02,927.36
166,4,338.38,702.02,595.95,928.34
167,4,338.3,702.99,595.87,929.31
168,4,338.23,703.97,595.79,930.29
169,4,338.15,704.94,595.71,931.26
170,4,338.07,705.92,595.63,932.24
171,4,337.99,706.89,595.56,933.21
172,4,337.91,707.87,595.48,934.19
173,4,337.83,708.84,595.4,935.16
174,4,337.76,709.82,595.32,936.14
175,4,337.68,710.8,595.24,937.12
176,4,337.6,711.77,595.17,938.09
177,4,337.52,712.75,595.09,939.07
178,4,337.44,713.72,595.01,940.04
179,4,337.37,714.7,594.93,941.02
180,4,337.29,715.67,594.85,941.99
181,4,337.21,716.65,594.78,942.97
182,4,337.13,717.62,594.7,943.94
183,4,337.05,718.6,594.62,944.92
184,4,336.98,719.58,594.54,945.9
185,4,333.99,716.54,591.55,942.86
186,4,331,713.51,588.56,939.83
187,4,328.01,710.48,585.58,936.8
188,4,325.02,707.44,582.59,933.76
189,4,322.04,704.41,579.6,930.73
190,4,319.05,701.38,576.61,927.7
191,4,316.06,698.35,573.62,924.67
192,4,311.58,685.65,569.15,911.97
193,4,307.11,672.95,564.67,899.27
194,4,302.63,660.26,560.2,886.58
195,4,294.03,637.11,551.59,865.31
196,4,285.42,613.96,542.98,844.04
197,4,276.81,590.82,534.38,822.77
198,4,268.21,567.67,525.77,801.5
199,4,259.6,544.52,517.16,780.23
200,4,250.99,521.38,508.55,758.96
201,4,242.38,498.23,499.95,737.69
202,4,237.49,492.92,495.06,734.26
203,4,232.6,487.61,490.16,730.83
204,4,227.71,482.31,485.27,727.4
205,4,227.46,483.31,485.03,728.4
206,4,227.21,484.31,484.78,729.4
207,4,226.97,488.43,484.53,733.53
208,4,226.72,492.56,484.28,737.65
209,4,224.52,512.68,482.09,757.77
210,4,222.01,541.23,479.58,786.33
211,4,223.14,571.87,480.71,816.96
212,4,224.28,602.5,481.84,847.6
213,4,218.97,636.06,476.53,881.16
214,4,213.66,669.62,471.22,914.72
215,4,205.23,704.28,462.8,949.37
216,4,196.8,738.93,454.37,984.02
217,4,188.37,773.58,445.94,1018.68
218,4,179.94,808.24,437.51,1053.33
219,4,171.51,842.89,429.08,1087.98
220,4,168.7,853.19,426.27,1098.29
221,4,165.89,863.5,423.46,1108.59
222,4,163.08,873.8,420.65,1118.89
223,4,160.27,884.1,417.84,1129.19
224,4,157.46,894.4,415.03,1139.5
225,4,162.65,916.78,420.21,1161.88
226,4,167.83,939.16,425.39,1184.25
227,4,173.01,961.54,430.57,1206.63
228,4,178.19,983.92,435.75,1229.01
229,4,183.37,1035.56,440.93,1280.66
230,4,190.42,1093.76,447.99,1338.86
231,4,197.74,1176.16,455.3,1421.26
232,4,202,1277.37,459.57,1522.46
233,4,206.27,1378.57,463.84,1623.66
234,4,210.54,1479.77,468.1,1724.86
235,4,214.77,1479.06,477.49,1732.86
236,4,219.01,1478.34,486.87,1740.85
237,4,223.25,1477.63,496.25,1748.84
238,4,227.48,1476.92,505.64,1756.83
239,4,231.72,1476.2,515.02,1764.82
240,4,235.96,1475.49,524.41,1772.81
241,4,240.2,1474.78,533.79,1780.8
242,4,246.96,1499.34,545.7,1805.87
243,4,253.72,1523.9,557.61,1830.93
244,4,260.49,1548.46,569.52,1856
245,4,265.02,1593.72,574.05,1901.27
246,4,264.34,1643.33,573.37,1920
247,4,285.52,1732.94,594.55,1918.24
248,4,291.08,1750.32,600.12,1914.04
249,4,310.7,1740.09,619.73,1920
250,4,323.76,1743.91,632.79,1920
251,4,335.65,1749.68,644.68,1920
252,4,347.54,1773.14,656.57,1920
253,4,370.35,1807.56,679.39,1920
254,4,377.56,1837.23,686.6,1920
255,4,377.56,1837.23,686.6,1920
