Frame,Object ID,x1,y1,x2,y2
69,1,511.84,1.56,792.82,210.73
70,1,505.6,1.56,786.58,210.73
71,1,491.55,3.12,772.53,212.29
72,1,477.5,4.68,758.48,213.85
73,1,462.2,3.75,743.18,225.72
74,1,446.91,2.81,727.88,237.58
75,1,431.61,1.87,712.58,249.44
76,1,416.31,0.94,697.29,261.31
77,1,401.01,0,681.99,273.17
78,1,392.41,1.55,653.09,298.14
79,1,383.8,3.1,624.2,323.1
80,1,365.07,4.66,605.47,324.66
81,1,354.14,7,594.54,327
82,1,343.21,9.34,583.61,329.34
83,1,337.75,13.5,578.15,333.5
84,1,332.29,17.67,572.69,337.67
85,1,326.82,21.83,567.22,341.83
86,1,321.36,25.99,561.76,345.99
87,1,315.9,30.15,556.3,350.15
88,1,310.43,34.32,550.83,354.32
89,1,329.13,78.06,533.66,327.78
90,1,333.01,85.83,525.86,336.39
91,1,336.89,93.6,518.05,345
92,1,338.57,99.72,518.05,348
93,1,340.25,105.85,518.05,351
94,1,341.92,111.97,518.05,354
95,1,343.6,118.09,518.05,357
96,1,345.28,124.21,518.05,360
97,1,346.96,130.34,518.05,363
98,1,348.63,136.46,518.05,366
99,1,350.31,142.58,518.05,369
100,1,351.99,148.71,518.05,372
101,1,353.67,154.83,518.05,375
102,1,355.34,160.95,518.05,378
103,1,357.02,167.08,518.05,381
104,1,358.7,173.2,518.05,384
105,1,351.99,174.45,514,386.34
106,1,345.27,175.7,509.94,388.68
107,1,338.56,176.95,505.89,391.02
108,1,331.85,178.19,501.83,393.36
109,1,325.14,179.44,497.78,395.7
110,1,318.43,180.69,493.72,398.04
111,1,311.71,181.94,489.67,400.38
112,1,305,183.19,485.61,402.72
113,1,298.29,184.44,481.56,405.06
114,1,291.58,185.69,477.5,407.4
115,1,288.45,186,474.38,407.71
116,1,285.33,186.31,471.26,408.02
117,1,282.21,186.62,468.13,408.34
118,1,279.09,186.94,465.01,408.65
119,1,275.97,187.25,461.89,408.96
120,1,272.84,187.56,458.77,409.27
121,1,269.72,187.87,455.65,409.58
122,1,266.6,188.18,452.52,409.9
123,1,263.48,188.5,449.4,410.21
124,1,260.36,188.81,446.28,410.52
125,1,259.11,189.12,445.03,410.83
126,1,257.86,189.43,443.78,411.15
127,1,256.61,189.75,442.53,411.46
128,1,255.36,190.06,441.29,411.77
129,1,254.11,190.37,440.04,412.08
